[2026-02-20 11:35:21] | 담당 AI: 전략 잼 | 출처: Barchart | 타겟: 온도 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 74.8%
[2026-02-20 11:35:24] | 담당 AI: 행동 잼 | 출처: Velo.xyz | 타겟: 온도 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 92.7%
[2026-02-20 11:35:29] | 담당 AI: 전략 잼 | 출처: LookIntoBitcoin | 타겟: 리플 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 91.0%
[2026-02-20 11:35:31] | 담당 AI: 전략 잼 | 출처: Koyfin | 타겟: 이더리움 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 79.0%
[2026-02-20 11:35:34] | 담당 AI: 타이밍 잼 | 출처: Whalemap | 타겟: 솔라나 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 76.1%
[2026-02-20 11:35:38] | 담당 AI: 전략 잼 | 출처: StockCharts | 타겟: 온도 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 97.3%
[2026-02-20 11:35:43] | 담당 AI: 수집 잼 | 출처: Messari | 타겟: 솔라나 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 87.1%
[2026-02-20 11:35:47] | 담당 AI: 수집 잼 | 출처: TradingLite | 타겟: 비트코인 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 90.1%
[2026-02-20 11:35:50] | 담당 AI: 타이밍 잼 | 출처: ATAS | 타겟: 이더리움 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 99.0%
[2026-02-20 11:35:53] | 담당 AI: 전략 잼 | 출처: TradingLite | 타겟: 솔라나 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 96.4%
[2026-02-20 11:35:56] | 담당 AI: 행동 잼 | 출처: Koyfin | 타겟: 제로엑스 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 74.1%
[2026-02-20 11:35:58] | 담당 AI: 전략 잼 | 출처: TradingView | 타겟: 리플 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 95.6%
[2026-02-20 11:36:03] | 담당 AI: 타이밍 잼 | 출처: Exocharts | 타겟: 리플 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 76.1%
[2026-02-20 11:36:05] | 담당 AI: 행동 잼 | 출처: TrendSpider | 타겟: 이더리움 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 80.4%
[2026-02-20 11:36:08] | 담당 AI: 수집 잼 | 출처: StockCharts | 타겟: 솔라나 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 87.1%
[2026-02-20 11:36:11] | 담당 AI: 수집 잼 | 출처: Dropstab | 타겟: 온도 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 73.9%
[2026-02-20 11:36:14] | 담당 AI: 수집 잼 | 출처: TradingView | 타겟: 제로엑스 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 93.3%
[2026-02-20 11:36:17] | 담당 AI: 타이밍 잼 | 출처: Koyfin | 타겟: 수이 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 89.5%
[2026-02-20 11:36:20] | 담당 AI: 전략 잼 | 출처: MarketChameleon | 타겟: 온도 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 84.9%
[2026-02-20 11:36:22] | 담당 AI: 행동 잼 | 출처: Coinglass | 타겟: 솔라나 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 86.0%
[2026-02-20 11:36:27] | 담당 AI: 타이밍 잼 | 출처: Birdeye.so | 타겟: 솔라나 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 76.3%
