체결시간,담당 AI,마켓,종류,거래수량,거래단가,거래금액(KRW)
2026-02-19 16:48:26,방패 잼,SUI,매수,8635.26873231,"1,377","11,890,765"
2026-02-19 16:48:27,추세추종 잼,SUI,매수,6503.27038971,"1,377","8,955,003"
2026-02-19 16:48:27,스캘핑 잼,SOL,매수,95.91813555,"121,400","11,644,462"
2026-02-19 16:48:32,스캘핑 잼,SUI,매수,10063.72797654,"1,377","13,857,753"
2026-02-19 16:48:37,스나이퍼 잼,ETH,매수,5.31754568,"2,925,000","15,553,821"
2026-02-19 16:48:37,고래 잼,BTC,매수,0.10992381,"99,230,000","10,907,740"
2026-02-19 16:48:40,추세추종 잼,SUI,매수,10961.52996780,"1,377","15,094,027"
2026-02-19 16:48:42,방패 잼,ZRX,매수,69503.23623821,157,"10,912,008"
2026-02-19 16:48:42,추세추종 잼,SUI,매수,6533.22862215,"1,377","8,996,256"
2026-02-19 16:48:43,방패 잼,SOL,매수,104.36962910,"121,400","12,670,473"
2026-02-19 16:48:43,방패 잼,ETH,매수,3.59634806,"2,926,000","10,522,914"
2026-02-19 16:48:44,방패 잼,SUI,매도,10043.54945452,"1,377","13,829,968"
2026-02-19 16:48:46,고래 잼,BTC,매수,0.11664719,"99,234,000","11,575,367"
2026-02-19 16:48:47,스나이퍼 잼,XRP,매수,3016.69906517,"2,112","6,371,268"
2026-02-19 16:48:47,스캘핑 잼,ONDO,매수,28203.13942974,395,"11,140,240"
2026-02-19 16:48:49,스캘핑 잼,ETH,매도,3.48962657,"2,926,000","10,210,647"
2026-02-19 16:48:50,추세추종 잼,BTC,매도,0.11087095,"99,183,000","10,996,514"
2026-02-19 16:48:52,스나이퍼 잼,ONDO,매수,26636.05997169,395,"10,521,244"
2026-02-19 16:48:53,방패 잼,SOL,매수,88.67582430,"121,600","10,782,980"
2026-02-19 16:48:53,추세추종 잼,ETH,매수,4.35550169,"2,925,000","12,739,842"
2026-02-19 16:48:54,스나이퍼 잼,BTC,매수,0.05328450,"99,234,000","5,287,634"
2026-02-19 16:48:56,추세추종 잼,SUI,매수,5098.30863885,"1,377","7,020,371"
2026-02-19 16:48:58,고래 잼,ZRX,매수,65957.59495225,157,"10,355,342"
2026-02-19 16:49:02,고래 잼,SUI,매도,10604.74051564,"1,379","14,623,937"
2026-02-19 16:49:02,고래 잼,BTC,매수,0.07026147,"99,234,000","6,972,327"
2026-02-19 16:49:04,스캘핑 잼,ONDO,매수,17248.13457372,395,"6,813,013"
2026-02-19 16:49:04,고래 잼,BTC,매수,0.06455507,"99,234,000","6,406,058"
2026-02-19 16:49:06,스나이퍼 잼,XRP,매수,3979.94364250,"2,114","8,413,601"
2026-02-19 16:49:07,방패 잼,SOL,매도,87.87580466,"121,500","10,676,910"
2026-02-19 16:49:08,추세추종 잼,ETH,매수,3.21541641,"2,926,000","9,408,308"
2026-02-19 16:49:09,고래 잼,BTC,매수,0.09778355,"99,234,000","9,703,452"
2026-02-19 16:49:11,스캘핑 잼,BTC,매수,0.07839449,"99,199,000","7,776,655"
2026-02-19 16:49:11,스나이퍼 잼,SUI,매수,2757.00599544,"1,379","3,801,911"
2026-02-19 16:49:12,추세추종 잼,ETH,매도,3.85701831,"2,925,000","11,281,779"
2026-02-19 16:49:12,방패 잼,BTC,매수,0.08014228,"99,199,000","7,950,034"
2026-02-19 16:49:14,고래 잼,SUI,매수,7725.93628598,"1,379","10,654,066"
2026-02-19 16:49:15,스캘핑 잼,ZRX,매수,27373.45847209,157,"4,297,633"
2026-02-19 16:49:17,추세추종 잼,SUI,매수,3779.47456417,"1,380","5,215,675"
2026-02-19 16:49:18,스캘핑 잼,ETH,매수,1.07722914,"2,925,000","3,150,895"
2026-02-19 16:49:19,스캘핑 잼,SOL,매도,70.18069256,"121,600","8,533,972"
2026-02-19 16:49:19,추세추종 잼,SUI,매수,4197.17684695,"1,380","5,792,104"
2026-02-19 16:49:23,스나이퍼 잼,XRP,매수,2744.39179865,"2,115","5,804,389"
2026-02-19 16:49:23,고래 잼,SUI,매수,9204.16493872,"1,380","12,701,748"
2026-02-19 16:49:23,스나이퍼 잼,BTC,매수,0.05646955,"99,234,000","5,603,699"
2026-02-19 16:49:24,방패 잼,ONDO,매수,31095.60888740,395,"12,282,766"
2026-02-19 16:49:24,스캘핑 잼,SOL,매수,99.75504645,"121,600","12,130,214"
2026-02-19 16:49:25,고래 잼,BTC,매도,0.10106287,"99,199,000","10,025,336"
2026-02-19 16:49:28,스나이퍼 잼,XRP,매수,3599.51528285,"2,116","7,616,574"
2026-02-19 16:49:28,추세추종 잼,ZRX,매수,55748.44900534,157,"8,752,506"
2026-02-19 16:49:28,고래 잼,ZRX,매수,26720.59372904,157,"4,195,133"
2026-02-19 16:49:30,스캘핑 잼,ONDO,매수,13792.13112655,395,"5,447,892"
2026-02-19 16:49:30,스나이퍼 잼,ZRX,매수,40927.15373978,157,"6,425,563"
2026-02-19 16:49:32,방패 잼,SUI,매수,2575.69991275,"1,380","3,554,466"
2026-02-19 16:49:33,방패 잼,ETH,매수,1.99727594,"2,926,000","5,844,029"
2026-02-19 16:49:33,방패 잼,ONDO,매수,17920.17742085,395,"7,078,470"
2026-02-19 16:49:36,스나이퍼 잼,ETH,매수,4.23582820,"2,925,000","12,389,797"
2026-02-19 16:49:38,고래 잼,BTC,매수,0.02344148,"99,199,000","2,325,371"
2026-02-19 16:49:38,스캘핑 잼,XRP,매수,2805.44616768,"2,116","5,936,324"
2026-02-19 16:49:39,고래 잼,SOL,매수,50.45786655,"121,600","6,135,677"
2026-02-19 16:49:40,방패 잼,BTC,매수,0.04946752,"99,199,000","4,907,129"
2026-02-19 16:49:42,방패 잼,ZRX,매도,25795.07731733,157,"4,049,827"
2026-02-19 16:49:43,방패 잼,ETH,매도,0.92950815,"2,925,000","2,718,811"
2026-02-19 16:49:43,추세추종 잼,ONDO,매도,18594.00438353,395,"7,344,632"
2026-02-19 16:49:43,고래 잼,SUI,매도,12234.25396245,"1,380","16,883,270"
2026-02-19 16:49:44,방패 잼,SUI,매수,2588.68857098,"1,380","3,572,390"
2026-02-19 16:49:44,추세추종 잼,BTC,매도,0.10956871,"99,199,000","10,869,106"
2026-02-19 16:49:46,방패 잼,ETH,매도,3.79638827,"2,925,000","11,104,436"
2026-02-19 16:49:47,방패 잼,SOL,매수,43.95493454,"121,600","5,344,920"
2026-02-19 16:49:48,스캘핑 잼,ZRX,매수,23010.10121914,157,"3,612,586"
2026-02-19 16:49:48,방패 잼,ETH,매수,1.18048865,"2,925,000","3,452,929"
2026-02-19 16:49:48,스캘핑 잼,ZRX,매도,38844.29883746,157,"6,098,555"
2026-02-19 16:49:51,스나이퍼 잼,ZRX,매도,8268.32200094,157,"1,298,127"
2026-02-19 16:49:52,스나이퍼 잼,ETH,매수,1.87964890,"2,926,000","5,499,853"
2026-02-19 16:49:52,고래 잼,ETH,매수,1.38281990,"2,926,000","4,046,131"
2026-02-19 16:49:53,방패 잼,SUI,매도,3007.61318320,"1,380","4,150,506"
2026-02-19 16:49:54,스나이퍼 잼,SOL,매수,46.72437660,"121,600","5,681,684"
2026-02-19 16:49:56,스캘핑 잼,SOL,매수,46.21051826,"121,600","5,619,199"
2026-02-19 16:49:56,스나이퍼 잼,ZRX,매수,14407.08502673,157,"2,261,912"
2026-02-19 16:49:56,고래 잼,ETH,매도,5.92320814,"2,925,000","17,325,384"
2026-02-19 16:49:58,스캘핑 잼,ONDO,매수,28682.29980359,395,"11,329,508"
2026-02-19 16:49:58,스캘핑 잼,SUI,매수,5961.11408874,"1,380","8,226,337"
2026-02-19 16:49:59,방패 잼,BTC,매도,0.02255603,"99,248,000","2,238,641"
2026-02-19 16:50:01,고래 잼,ONDO,매수,12977.52274871,395,"5,126,121"
2026-02-19 16:50:01,스나이퍼 잼,ETH,매수,0.43658729,"2,926,000","1,277,454"
2026-02-19 16:50:02,스캘핑 잼,ETH,매수,2.40479868,"2,926,000","7,036,441"
2026-02-19 16:50:03,추세추종 잼,ONDO,매수,23973.99420233,395,"9,469,728"
2026-02-19 16:50:04,방패 잼,BTC,매수,0.03913956,"99,248,000","3,884,524"
2026-02-19 16:50:05,스캘핑 잼,ONDO,매수,8724.61394081,395,"3,446,223"
2026-02-19 16:50:08,스캘핑 잼,ONDO,매수,6062.55773941,395,"2,394,710"
2026-02-19 16:50:08,스나이퍼 잼,ONDO,매도,36144.87486707,395,"14,277,226"
2026-02-19 16:50:08,스나이퍼 잼,BTC,매도,0.03100601,"99,248,000","3,077,284"
2026-02-19 16:50:12,스나이퍼 잼,BTC,매도,0.08162241,"99,248,000","8,100,861"
2026-02-19 16:50:12,방패 잼,ONDO,매도,33191.95503964,395,"13,110,822"
2026-02-19 16:50:12,방패 잼,SUI,매도,2954.72331384,"1,380","4,077,518"
2026-02-19 16:50:13,추세추종 잼,ONDO,매도,5514.62802994,395,"2,178,278"
2026-02-19 16:50:14,추세추종 잼,SUI,매도,11568.51084857,"1,380","15,964,545"
2026-02-19 16:50:16,방패 잼,ONDO,매도,5390.27493541,395,"2,129,159"
2026-02-19 16:50:18,스캘핑 잼,SUI,매도,512.08742681,"1,380","706,681"
2026-02-19 16:50:18,스캘핑 잼,SOL,매도,44.80422024,"121,700","5,452,674"
2026-02-19 16:50:18,방패 잼,BTC,매도,0.00687873,"99,250,000","682,714"
2026-02-19 16:50:19,스나이퍼 잼,SOL,매도,53.69324132,"121,700","6,534,467"
2026-02-19 16:50:19,스캘핑 잼,BTC,매도,0.05320477,"99,248,000","5,280,467"
2026-02-19 16:50:20,고래 잼,SUI,매도,4611.09299302,"1,380","6,363,308"
2026-02-19 16:50:22,고래 잼,XRP,매수,2401.46844411,"2,119","5,088,712"
2026-02-19 16:50:23,스나이퍼 잼,SOL,매수,92.95794457,"121,700","11,312,982"
2026-02-19 16:50:23,추세추종 잼,SOL,매수,13.45614835,"121,700","1,637,613"
2026-02-19 16:50:24,고래 잼,BTC,매수,0.09135766,"99,250,000","9,067,247"
2026-02-19 16:50:24,추세추종 잼,ONDO,매수,12337.72687672,395,"4,873,402"
2026-02-19 16:50:27,스나이퍼 잼,SOL,매도,76.74529368,"121,700","9,339,902"
2026-02-19 16:50:27,고래 잼,BTC,매도,0.00549148,"99,250,000","545,030"
2026-02-19 16:50:29,고래 잼,SUI,매수,6036.14806322,"1,380","8,329,884"
2026-02-19 16:50:29,추세추종 잼,SUI,매수,1451.92121795,"1,380","2,003,651"
2026-02-19 16:50:30,방패 잼,ZRX,매수,84171.80979306,157,"13,214,974"
2026-02-19 16:50:30,스캘핑 잼,ONDO,매도,14033.70526327,396,"5,557,347"
2026-02-19 16:50:31,고래 잼,SOL,매도,17.26456602,"121,700","2,101,098"
2026-02-19 16:50:31,추세추종 잼,ZRX,매수,19007.80699557,157,"2,984,226"
2026-02-19 16:50:32,고래 잼,BTC,매수,0.04345386,"99,250,000","4,312,795"
2026-02-19 16:50:33,방패 잼,ONDO,매수,5848.08109432,396,"2,315,840"
2026-02-19 16:50:34,스캘핑 잼,XRP,매수,3344.50866356,"2,119","7,087,014"
2026-02-19 16:50:35,방패 잼,ZRX,매수,21321.12942331,157,"3,347,417"
2026-02-19 16:50:36,스캘핑 잼,SUI,매수,3469.74302543,"1,380","4,788,245"
2026-02-19 16:50:36,추세추종 잼,ZRX,매수,40759.81239625,157,"6,399,291"
2026-02-19 16:50:38,스나이퍼 잼,ETH,매도,0.43838076,"2,926,000","1,282,702"
